country,last_update,confirmed,deaths,recovered,active,delta_confirmed,delta_recovered
Canada,2020-01-22,0,0,,,0,
Canada,2020-01-23,0,0,,,0,
Canada,2020-01-24,0,0,,,0,
Canada,2020-01-25,0,0,,,0,
Canada,2020-01-26,1,0,,,1,
Canada,2020-01-27,1,0,,,0,
Canada,2020-01-28,2,0,,,1,
Canada,2020-01-29,2,0,,,0,
Canada,2020-01-30,2,0,,,0,
Canada,2020-01-31,4,0,,,2,
Canada,2020-02-01,4,0,,,0,
Canada,2020-02-02,4,0,,,0,
Canada,2020-02-03,4,0,,,0,
Canada,2020-02-04,4,0,,,0,
Canada,2020-02-05,5,0,,,1,
Canada,2020-02-06,5,0,,,0,
Canada,2020-02-07,7,0,,,2,
Canada,2020-02-08,7,0,,,0,
Canada,2020-02-09,7,0,,,0,
Canada,2020-02-10,7,0,,,0,
Canada,2020-02-11,7,0,,,0,
Canada,2020-02-12,7,0,,,0,
Canada,2020-02-13,7,0,,,0,
Canada,2020-02-14,7,0,,,0,
Canada,2020-02-15,7,0,,,0,
Canada,2020-02-16,7,0,,,0,
Canada,2020-02-17,8,0,,,1,
Canada,2020-02-18,8,0,,,0,
Canada,2020-02-19,8,0,,,0,
Canada,2020-02-20,8,0,,,0,
Canada,2020-02-21,9,0,,,1,
Canada,2020-02-22,9,0,,,0,
Canada,2020-02-23,9,0,,,0,
Canada,2020-02-24,10,0,,,1,
Canada,2020-02-25,11,0,,,1,
Canada,2020-02-26,11,0,,,0,
Canada,2020-02-27,13,0,,,2,
Canada,2020-02-28,14,0,,,1,
Canada,2020-02-29,20,0,,,6,
Canada,2020-03-01,24,0,,,4,
Canada,2020-03-02,27,0,,,3,
Canada,2020-03-03,30,0,,,3,
Canada,2020-03-04,33,0,,,3,
Canada,2020-03-05,37,0,,,4,
Canada,2020-03-06,49,0,,,12,
Canada,2020-03-07,54,0,,,5,
Canada,2020-03-08,64,0,,,10,
Canada,2020-03-09,77,1,,,13,
Canada,2020-03-10,79,1,,,2,
Canada,2020-03-11,108,1,,,29,
Canada,2020-03-12,117,1,,,9,
Canada,2020-03-13,193,1,,,76,
Canada,2020-03-14,198,1,,,5,
Canada,2020-03-15,252,1,,,54,
Canada,2020-03-16,415,4,,,163,
Canada,2020-03-17,478,5,,,63,
Canada,2020-03-18,657,8,,,179,
Canada,2020-03-19,800,9,,,143,
Canada,2020-03-20,943,12,,,143,
Canada,2020-03-21,1277,19,,,334,
Canada,2020-03-22,1469,21,,,192,
Canada,2020-03-23,2088,25,,,619,
Canada,2020-03-24,2790,26,,,702,
Canada,2020-03-25,3251,30,,,461,
Canada,2020-03-26,4042,38,,,791,
Canada,2020-03-27,4682,54,,,640,
Canada,2020-03-28,5576,61,,,894,
Canada,2020-03-29,6280,64,,,704,
Canada,2020-03-30,7398,80,,,1118,
Canada,2020-03-31,8527,101,,,1129,
Canada,2020-04-01,9560,109,,,1033,
Canada,2020-04-02,11284,139,,,1724,
Canada,2020-04-03,12437,179,,,1153,
Canada,2020-04-04,12978,218,,,541,
